charge,county,outcome,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
murder_2,Albany,Total Dispositions,1,9,8,19,13,8,16,23,10,16,13,11,20,12,20,36,14,11,7,6,13,7,7,5,9,3,7,6,3,10
murder_2,Albany,Convicted by Verdict,1,3,1,12,2,1,2,6,2,8,6,4,12,4,10,8,4,2,3,2,6,3,2,2,3,1,1,3,0,1
murder_2,Albany,Convicted by Plea,0,5,2,6,6,5,8,11,5,6,6,4,7,7,9,20,7,6,3,3,4,3,4,2,5,1,5,2,3,8
murder_2,Albany,Dismissed,0,1,4,0,4,2,4,2,0,1,1,2,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1
murder_2,Albany,Acquitted,0,0,1,1,1,0,1,3,1,0,0,0,1,0,1,6,1,3,1,1,1,0,0,1,0,0,0,1,0,0
murder_2,Albany,Other,0,0,0,0,0,0,1,1,2,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0
murder_2,Albany,Prison,1,8,2,16,7,4,9,17,5,12,12,8,17,11,18,26,10,6,5,5,10,6,6,4,8,2,6,5,3,9
murder_2,Albany,Jail,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
murder_2,Albany,Probation,0,0,0,2,1,2,1,0,2,1,0,0,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
murder_2,Allegany,Total Dispositions,1,1,1,0,1,1,0,1,0,1,0,0,0,0,2,2,2,1,0,1,0,0,0,0,0,0,0,0,1,0
murder_2,Allegany,Convicted by Verdict,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murder_2,Allegany,Convicted by Plea,1,1,1,0,1,1,0,1,0,0,0,0,0,0,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
murder_2,Allegany,Dismissed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
murder_2,Allegany,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
murder_2,Allegany,Prison,1,1,1,0,1,1,0,1,0,1,0,0,0,0,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
murder_2,Bronx,Total Dispositions,242,203,204,254,230,213,254,258,241,263,225,240,250,189,158,191,178,135,106,92,95,96,76,77,65,89,78,77,98,78
murder_2,Bronx,Convicted by Verdict,62,45,30,26,42,36,47,48,55,68,50,57,76,44,48,52,35,25,24,24,13,18,9,17,11,20,17,20,21,16
murder_2,Bronx,Convicted by Plea,127,106,108,151,103,97,128,127,113,115,114,104,103,77,52,68,91,70,45,41,45,51,49,37,35,39,41,39,46,43
murder_2,Bronx,Dismissed,25,29,32,49,52,43,41,41,35,45,28,43,38,27,17,27,24,18,13,13,7,11,4,6,3,12,8,10,12,7
murder_2,Bronx,Acquitted,25,20,27,17,23,23,25,30,28,18,23,22,20,23,25,29,15,11,18,13,19,14,6,4,11,13,8,8,14,7
murder_2,Bronx,Not Prosecuted,1,1,2,4,3,2,7,2,3,10,6,8,9,9,12,8,6,5,3,1,3,2,3,6,1,4,1,0,3,1
murder_2,Bronx,Other,2,2,5,7,7,12,6,10,7,7,4,6,4,9,4,7,7,6,3,0,8,0,5,7,4,1,3,0,2,4
murder_2,Bronx,Prison,166,138,122,147,129,123,165,157,155,168,152,148,163,107,86,114,114,92,65,63,53,67,56,52,42,59,57,56,65,53
murder_2,Bronx,Jail,10,6,5,7,5,2,4,6,8,6,4,4,12,6,7,3,7,1,3,1,3,1,2,1,2,0,0,3,0,2
murder_2,Bronx,Probation,11,5,9,19,10,6,5,9,5,4,6,9,1,5,5,1,3,2,1,1,1,1,0,0,2,0,1,0,2,2
murder_2,Bronx,Other-Unknown,2,2,2,4,1,2,1,3,0,5,2,0,3,3,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,2
murder_2,Broome,Total Dispositions,6,4,0,2,7,2,6,9,3,3,6,5,4,2,1,6,1,2,5,8,2,2,7,1,3,4,5,6,2,4
murder_2,Broome,Convicted by Verdict,2,1,0,0,3,0,3,3,1,0,0,2,1,0,1,3,0,0,1,4,2,0,2,1,2,1,2,1,1,2
murder_2,Broome,Convicted by Plea,4,2,0,1,4,1,2,4,2,2,4,1,1,0,0,2,0,2,3,4,0,2,4,0,1,2,3,3,1,2
murder_2,Broome,Dismissed,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0
murder_2,Broome,Acquitted,0,0,0,1,0,0,0,1,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
murder_2,Broome,Other,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murder_2,Broome,Prison,5,3,0,1,7,1,5,7,3,2,4,3,2,0,1,5,0,2,4,8,2,2,5,1,3,3,5,4,2,4
murder_2,Broome,Jail,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murder_2,Broome,Probation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
murder_2,Cattaraugus,Total Dispositions,1,2,1,3,0,0,1,0,1,1,1,1,7,0,1,2,0,1,0,5,1,1,0,1,2,2,1,1,0,1
murder_2,Cattaraugus,Convicted by Verdict,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
murder_2,Cattaraugus,Convicted by Plea,0,1,1,2,0,0,0,0,1,1,0,1,6,0,0,2,0,1,0,4,1,1,0,1,2,2,0,1,0,1
murder_2,Cattaraugus,Acquitted,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
murder_2,Cattaraugus,Prison,1,2,1,3,0,0,1,0,1,1,0,1,3,0,1,2,0,1,0,3,0,0,0,1,2,2,1,1,0,0
murder_2,Cattaraugus,Jail,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
murder_2,Cattaraugus,Probation,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
murder_2,Cayuga,Total Dispositions,2,1,1,1,1,1,1,2,4,1,1,0,0,1,0,1,0,0,2,0,1,0,1,0,0,0,2,1,2,1
murder_2,Cayuga,Convicted by Verdict,2,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
murder_2,Cayuga,Convicted by Plea,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0,2,0
murder_2,Cayuga,Dismissed,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murder_2,Cayuga,Acquitted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
murder_2,Cayuga,Prison,2,1,1,1,1,0,1,2,3,1,1,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,2,1,2,1
murder_2,Chautauqua,Total Dispositions,2,2,1,0,0,0,0,1,2,0,1,0,3,1,2,2,3,2,0,2,1,2,1,0,3,2,3,2,0,2
murder_2,Chautauqua,Convicted by Verdict,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2
murder_2,Chautauqua,Convicted by Plea,1,2,0,0,0,0,0,1,1,0,0,0,3,0,2,1,2,1,0,2,1,2,1,0,3,2,3,2,0,0
murder_2,Chautauqua,Dismissed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murder_2,Chautauqua,Acquitted,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murder_2,Chautauqua,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murder_2,Chautauqua,Prison,2,2,1,0,0,0,0,1,1,0,1,0,3,0,2,2,3,2,0,2,1,2,1,0,3,2,3,2,0,2
murder_2,Chemung,Total Dispositions,1,1,0,0,0,3,3,0,4,3,1,1,1,1,1,3,0,0,3,1,1,3,2,3,3,3,1,2,2,0
murder_2,Chemung,Convicted by Verdict,0,1,0,0,0,0,3,0,2,2,1,1,1,0,0,2,0,0,2,0,0,1,2,2,2,1,1,1,1,0
murder_2,Chemung,Convicted by Plea,1,0,0,0,0,3,0,0,2,1,0,0,0,1,1,1,0,0,1,1,0,2,0,1,1,2,0,1,1,0
murder_2,Chemung,Acquitted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
murder_2,Chemung,Prison,1,1,0,0,0,3,3,0,4,3,1,1,1,1,1,3,0,0,3,1,0,3,2,3,3,3,1,2,2,0
murder_2,Chenango,Total Dispositions,0,1,0,0,0,1,1,0,3,0,0,1,0,0,0,3,5,0,0,0,0,0,1,1,0,1,0,1,0,1
murder_2,Chenango,Convicted by Verdict,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
murder_2,Chenango,Convicted by Plea,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,2,4,0,0,0,0,0,1,1,0,1,0,0,0,0
murder_2,Chenango,Acquitted,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
murder_2,Chenango,Other,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murder_2,Chenango,Prison,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,3,4,0,0,0,0,0,1,1,0,1,0,1,0,1
murder_2,Clinton,Total Dispositions,1,0,2,1,2,1,2,0,1,0,1,3,0,2,2,2,0,0,1,0,0,1,2,0,0,0,2,1,0,0
murder_2,Clinton,Convicted by Verdict,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0
murder_2,Clinton,Convicted by Plea,0,0,0,1,0,1,2,0,1,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
murder_2,Clinton,Dismissed,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murder_2,Clinton,Other,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
murder_2,Clinton,Prison,1,0,1,1,0,1,2,0,1,0,1,2,0,1,2,0,0,0,1,0,0,0,2,0,0,0,2,1,0,0
murder_2,Clinton,Probation,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murder_2,Columbia,Total Dispositions,2,3,1,2,1,0,1,0,0,0,2,1,0,3,1,1,1,0,0,0,2,0,2,2,2,0,2,1,0,0
murder_2,Columbia,Convicted by Verdict,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,2,0,2,0,0,0
murder_2,Columbia,Convicted by Plea,1,2,0,1,1,0,1,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
murder_2,Columbia,Dismissed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
murder_2,Columbia,Acquitted,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
murder_2,Columbia,Other,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murder_2,Columbia,Prison,1,1,1,1,1,0,1,0,0,0,2,1,0,2,1,0,1,0,0,0,1,0,1,1,2,0,2,1,0,0
murder_2,Columbia,Jail,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murder_2,Columbia,Probation,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murder_2,Cortland,Total Dispositions,0,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
murder_2,Cortland,Convicted by Verdict,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
murder_2,Cortland,Convicted by Plea,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murder_2,Cortland,Prison,0,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
murder_2,Delaware,Total Dispositions,0,1,3,0,1,0,0,1,1,0,2,0,0,1,1,0,0,2,0,4,5,3,1,0,0,1,0,2,0,0
murder_2,Delaware,Convicted by Verdict,0,1,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
murder_2,Delaware,Convicted by Plea,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,5,2,1,0,0,1,0,1,0,0
murder_2,Delaware,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
murder_2,Delaware,Prison,0,1,3,0,0,0,0,1,0,0,2,0,0,1,1,0,0,1,0,4,5,3,1,0,0,1,0,2,0,0
murder_2,Delaware,Probation,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murder_2,Dutchess,Total Dispositions,3,4,5,4,9,6,7,3,6,10,9,6,2,3,9,8,8,4,3,2,5,8,5,6,2,4,6,11,4,4
murder_2,Dutchess,Convicted by Verdict,0,2,2,0,2,0,2,1,2,4,3,2,1,1,3,1,2,1,0,0,0,1,0,5,0,2,1,4,1,2
murder_2,Dutchess,Convicted by Plea,0,1,2,2,4,5,5,2,4,6,6,4,1,2,5,7,6,3,2,2,3,6,5,1,2,1,4,7,3,2
murder_2,Dutchess,Dismissed,2,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
murder_2,Dutchess,Acquitted,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
murder_2,Dutchess,Other,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
murder_2,Dutchess,Prison,0,2,3,2,5,4,7,3,6,9,9,6,2,3,8,8,8,4,2,2,3,7,5,6,2,3,5,11,2,4
murder_2,Dutchess,Jail,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murder_2,Dutchess,Probation,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
murder_2,Erie,Total Dispositions,29,16,19,24,26,16,39,38,54,51,45,31,35,33,19,33,30,33,32,30,27,20,46,27,28,40,17,24,16,26
murder_2,Erie,Convicted by Verdict,7,5,8,13,14,7,18,10,16,28,23,15,12,15,11,16,12,15,9,9,7,4,8,9,6,15,7,11,4,14
murder_2,Erie,Convicted by Plea,10,4,8,6,8,8,17,20,29,11,15,11,22,17,7,15,15,16,16,19,17,13,30,18,20,22,8,12,9,9
murder_2,Erie,Dismissed,9,2,2,1,0,0,3,4,4,2,2,3,1,1,0,2,1,0,2,1,0,0,7,0,1,0,0,0,1,0
murder_2,Erie,Acquitted,3,4,1,3,3,1,1,4,5,8,5,2,0,0,1,0,2,2,2,0,1,3,0,0,0,3,1,1,1,3
