"year","death_penalty_illegal","death_penalty_moratorium","death_status"
1985,1,1,"illegal"
1986,1,1,"illegal"
1987,1,1,"illegal"
1988,1,1,"illegal"
1989,1,1,"illegal"
1990,1,1,"illegal"
1991,1,1,"illegal"
1992,1,1,"illegal"
1993,1,1,"illegal"
1994,1,1,"illegal"
1995,0,0,"legal"
1996,0,0,"legal"
1997,0,0,"legal"
1998,0,0,"legal"
1999,0,0,"legal"
2000,0,0,"legal"
2001,0,0,"legal"
2002,0,0,"legal"
2003,0,0,"legal"
2004,1,0,"shady"
2005,1,0,"shady"
2006,1,0,"shady"
2007,1,1,"illegal"
2008,1,1,"illegal"
2009,1,1,"illegal"
2010,1,1,"illegal"
2011,1,1,"illegal"
2012,1,1,"illegal"
2013,1,1,"illegal"
