region,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Albany,5,11,20,13,7,12,13,11,8,13,9,11,10,3,13,12,7,10,11,14,13,5,5,10,12,3,7,6,9,10
Allegany,2,2,0,1,1,0,1,0,1,0,2,0,0,1,0,3,0,0,1,0,0,2,1,0,0,0,0,2,0,2
Bronx,339,404,360,413,478,652,552,547,512,393,302,248,195,170,139,190,191,173,136,127,129,155,130,132,113,127,148,114,83,95
Broome,2,5,3,6,4,7,5,5,4,8,4,6,4,1,5,1,3,9,3,3,6,6,4,2,20,7,3,7,7,4
Cattaraugus,0,2,0,0,3,1,1,1,1,3,2,1,2,1,3,1,1,1,1,3,1,0,1,1,1,1,1,1,0,3
Cayuga,2,1,0,2,4,2,3,1,2,3,1,2,2,0,1,0,1,2,2,2,2,0,1,0,2,0,3,1,2,0
Chautauqua,2,2,0,1,1,2,4,2,3,1,3,4,1,4,1,3,4,2,2,1,3,2,1,6,2,2,1,2,2,3
Chemung,2,4,4,1,2,5,1,2,4,3,1,1,1,3,3,1,0,2,3,2,5,2,3,4,4,4,1,4,0,1
Chenango,1,1,0,0,0,2,0,2,0,0,1,2,0,1,1,1,0,1,0,0,0,0,3,2,0,0,0,0,2,3
Clinton,1,3,0,2,3,0,1,2,3,1,6,1,1,0,0,1,0,2,0,0,2,2,1,1,1,3,1,0,3,3
Columbia,2,7,2,1,2,0,1,0,1,2,1,0,2,1,1,1,1,0,0,1,2,3,1,2,0,1,1,0,0,0
Cortland,2,2,0,0,0,1,1,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
Delaware,1,4,0,0,4,0,2,0,4,0,0,0,1,0,0,0,0,0,2,2,1,1,1,0,0,2,1,1,2,0
Dutchess,5,6,11,7,10,10,13,9,11,10,13,11,2,11,13,7,7,6,4,4,5,8,14,5,4,12,7,5,12,5
Erie,43,43,39,48,46,45,57,88,84,96,66,61,53,45,34,42,69,45,68,57,59,81,57,39,66,62,40,50,55,66
Essex,1,0,0,0,1,0,0,2,1,4,0,1,2,0,1,0,1,3,0,0,1,0,0,0,0,0,0,1,0,0
Franklin,1,0,0,2,4,1,1,1,1,1,0,4,0,1,1,1,0,1,2,2,1,1,1,0,0,0,1,1,1,0
Fulton,0,1,2,0,0,0,1,1,0,0,0,0,0,5,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0
Genesee,0,1,1,2,5,0,2,0,3,0,0,3,1,0,1,1,0,1,1,1,1,1,0,2,1,0,0,0,0,1
Greene,1,0,0,0,2,1,5,1,0,2,1,2,1,2,1,2,1,0,1,2,0,4,1,1,1,0,0,0,1,2
Hamilton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Herkimer,1,1,2,0,1,0,1,0,1,2,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,2,4,0
Jefferson,3,4,5,1,4,5,2,2,4,3,1,0,1,2,0,0,2,1,1,3,7,1,5,0,4,6,2,1,1,1
Kings,463,483,581,698,679,759,786,652,718,546,382,340,276,237,263,236,254,222,236,235,211,225,213,213,201,222,198,149,147,122
Lewis,1,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
