district,population_2001
Bronx,1343698
Kings,2479923
New York,1549009
Queens,2238024
Richmond,451373
Albany,294865
Allegany,50298
Broome,200243
Cattaraugus,83399
Cayuga,81412
Chautauqua,138718
Chemung,90704
Chenango,51192
Clinton,80358
Columbia,63097
Cortland,48639
Delaware,47615
Dutchess,284270
Erie,946625
Essex,38725
Franklin,51025
Fulton,54896
Genesee,59967
Greene,48373
Hamilton,5330
Herkimer,64170
Jefferson,110212
Lewis,26941
Livingston,64710
Madison,69795
Monroe,736215
Montgomery,49474
Nassau,1339301
Niagara,218635
Oneida,234635
Onondaga,459288
Ontario,100898
Orange,349480
Orleans,43940
Oswego,122639
Otsego,61741
Putnam,97125
Rensselaer,152820
Rockland,289430
St. Lawrence,42
Saratoga,204276
Schenectady,146247
Schoharie,31747
Schuyler,19277
Seneca,34845
Steuben,99196
Suffolk,1443299
Sullivan,74048
Tioga,51535
Tompkins,97998
Ulster,178372
Warren,63572
Washington,61081
Wayne,93902
Westchester,932748
Wyoming,43070
Yates,24525
