charge,region,conviction,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
murder_2,Albany,same,,1,,2,1,1,5,1,2,2,2,2,1,1,3,9,1,2,2,2,,1,,,,,,1,,2
murder_2,,other,,4,2,4,5,4,3,10,3,4,4,2,6,6,6,11,6,4,1,1,4,2,4,2,5,1,5,1,3,6
murder_2,,total,,5,2,6,6,5,8,11,5,6,6,4,7,7,9,20,7,6,3,3,4,3,4,2,5,1,5,2,3,8
murder_2,Allegany,same,,1,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,
murder_2,,other,1,,1,,1,1,,1,,,,,,,2,1,1,,,,,,,,,,,,,
murder_2,,total,1,1,1,,1,1,,1,,,,,,,2,2,1,1,,1,,,,,,,,,,
murder_2,Bronx,same,5,5,5,11,7,5,10,10,24,14,23,22,12,8,12,15,16,15,10,5,5,9,4,4,3,2,2,,4,1
murder_2,,other,122,101,103,140,96,92,118,117,89,101,91,82,91,69,40,53,75,55,35,36,40,42,45,33,32,37,39,39,42,42
murder_2,,total,127,106,108,151,103,97,128,127,113,115,114,104,103,77,52,68,91,70,45,41,45,51,49,37,35,39,41,39,46,43
murder_2,Broome,same,1,1,,,1,,2,1,2,1,2,1,1,,,1,,,1,2,,,,,1,,,,,
murder_2,,other,3,1,,1,3,1,,3,,1,2,,,,,1,,2,2,2,,2,4,,,2,3,3,1,2
murder_2,,total,4,2,,1,4,1,2,4,2,2,4,1,1,,,2,,2,3,4,,2,4,,1,2,3,3,1,2
murder_2,Cattaraugus,same,,1,1,2,,,,,,,,,,,,1,,,,,,,,1,,1,,1,,
murder_2,,other,,,,,,,,,1,1,,1,6,,,1,,1,,4,1,1,,,2,1,,,,1
murder_2,,total,,1,1,2,,,,,1,1,,1,6,,,2,,1,,4,1,1,,1,2,2,,1,,1
murder_2,Cayuga,same,,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,2,
murder_2,,other,,1,,,,,,1,3,,,,,,,1,,,,,,,,,,,1,,,
murder_2,,total,,1,,,,,,1,3,,,,,,,1,,,1,,1,,,,,,2,,2,
murder_2,Chautauqua,same,,,,,,,,,1,,,,,,,1,,1,,,,1,,,2,,,,,
murder_2,,other,1,2,,,,,,1,,,,,3,,2,,2,,,2,1,1,1,,1,2,3,2,,
murder_2,,total,1,2,,,,,,1,1,,,,3,,2,1,2,1,,2,1,2,1,,3,2,3,2,,
murder_2,Chemung,same,1,,,,,1,,,1,,,,,1,,,,,1,,,1,,,1,,,,,
murder_2,,other,,,,,,2,,,1,1,,,,,1,1,,,,1,,1,,1,,2,,1,1,
murder_2,,total,1,,,,,3,,,2,1,,,,1,1,1,,,1,1,,2,,1,1,2,,1,1,
