year,dispositions_total,convicted_murder_1,convicted_other,pled_murder_1,pled_other,acquited,dismissed,not_indicted,prosecution_declined,other,death_penalty_illegal,death_penalty_moratorium,death_status
1990,20,0,3,0,11,1,3,1,0,1,1,1,illegal
1991,14,1,1,0,8,0,4,0,0,0,1,1,illegal
1992,19,0,2,1,9,1,4,1,0,1,1,1,illegal
1993,18,0,3,0,6,0,8,0,1,0,1,1,illegal
1994,21,0,3,0,14,0,4,0,0,0,1,1,illegal
1995,23,1,1,0,16,1,4,0,0,0,0,0,legal
1996,13,0,4,1,7,0,1,0,0,0,0,0,legal
1997,34,8,6,5,10,2,2,0,0,1,0,0,legal
1998,23,5,4,5,3,2,3,0,0,1,0,0,legal
1999,29,9,4,6,7,0,1,0,2,0,0,0,legal
2000,38,8,4,2,14,2,2,1,3,2,0,0,legal
2001,29,7,4,5,10,3,0,0,0,0,0,0,legal
2002,26,6,1,4,13,2,0,0,0,0,0,0,legal
2003,37,10,8,6,11,0,1,0,0,1,0,0,legal
2004,35,6,8,5,13,3,0,0,0,0,1,0,shady
2005,26,5,3,4,12,0,1,0,0,1,1,0,shady
2006,28,10,2,3,10,1,1,0,0,1,1,0,shady
2007,29,6,7,0,9,1,1,0,0,5,1,1,illegal
2008,27,4,5,2,9,3,2,0,1,1,1,1,illegal
2009,24,10,3,1,4,3,1,0,0,2,1,1,illegal
2010,25,7,3,2,11,0,2,0,0,0,1,1,illegal
2011,23,7,4,2,5,1,3,0,0,1,1,1,illegal
2012,20,3,5,3,8,0,1,0,0,0,1,1,illegal
2013,25,2,8,2,9,1,1,0,0,2,1,1,illegal
